"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"1",1,"AAUSat-4","NR","University of Aalborg","Denmark","Civil","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,442,687,0.0177,98.2,"95.9","1","","",2016-04-25,"","University of Aalborg","Denmark","Guiana Space Center","Soyuz 2.1a","2016-025E",41460,-52.76898,5.21603
"2",2,"ABS-2","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",75,35778,35793,0.000178,0.08,"1436.03","6330","","16000",2014-02-06,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane  5 ECA","2014-006A",39508,-52.76898,5.21603
"3",3,"ABS-2A","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",-75,35700,35700,0,0,"1436.1","1800","","",2016-06-15,"15","Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2016-038A",41588,-80.53311,28.45861
"4",4,"ABS-3","Philippines","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",146.06,35769,35802,0.000391,0.05,"1436.07","3775","1800","9000",1997-08-19,"15","Space Systems/Loral","USA","Xichang Satellite Launch Center","Long March CZ3B","1997-042A",24901,-57.65625,-14.60485
"5",5,"ABS-3A","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",-3,35788,35803,0.000178,0.1,"1436","2000","","",2015-03-02,"15","Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2015-010A",40424,-80.53311,28.45861
"6",6,"ABS-4","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",75,35780,35793,0.000154,0.01,"1436.1","4143","1700","7400",2004-03-13,"12","Space Systems/Loral","USA","Cape Canaveral","Atlas 3","2004-007A",28184,-80.53311,28.45861
"7",7,"ABS-6","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",159,35777,35794,0.000202,0.01,"1436.08","2894","1730","6,800 (EOL)",1999-09-26,"15","Lockheed Martin","USA","Baikonur Cosmodrome","Proton","1999-053A",25924,63.30091,46.00573
"8",8,"ABS-7","South Korea","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",116.18,35780,35791,0.00013,0.01,"1436.06","3500","1800","4800",1999-09-04,"15","Lockheed Martin Astro Space","USA","Guiana Space Center","Ariane","1999-046A",25894,-52.76898,5.21603
"9",9,"Advanced Data Relay and Technology Mission Satellite (Artemis) ","ESA","European Space Agency","ESA","Commercial/Government","Communications/Technology Development","","GEO","",21.36,35771,35803,0.00038,7.03,"1436.12","3105","1500","4600",2001-07-12,"10","Alenia Spazio","Italy","Guiana Space Center","Ariane 5G","2001-029A",26863,-52.76898,5.21603
"10",10,"Aeneas","USA","Department of Homeland Security","USA","Government","Technology Development","","LEO","Equatorial",0,480,790,0.0221,0.02,"97.4","3","","",2012-09-13,"","University of Southern California","USA","Vandenberg AFB","Atlas 5","2012-048C",38760,-120.53757,34.75046
"11",11,"Aerocube 4.5A","USA","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,495,791,0.0211,64.6,"97.5","5","","",2012-09-13,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2012-048K",38767,-120.53757,34.75046
"12",12,"Aerocube 4.5B","USA","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,499,792,0.0209,64.6,"97.6","5","","",2012-09-13,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2012-048L",38768,-120.53757,34.75046
"13",13,"Aerocube 5A","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"2","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2013-072D",39465,-120.53757,34.75046
"14",14,"Aerocube 5B","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"2","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2013-072E",39466,-120.53757,34.75046
"15",15,"Aerocube 5C","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,500,802,0.0215,64.78,"97.74","2","","",2015-10-08,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2015-058B",40965,-120.53757,34.75046
"16",16,"Aerocube 6A","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Sun-Synchronous",0,614,700,0.00612,97.98,"97.88","5","","",2014-06-19,"3","Aerospace Corporation","USA","Dombarovsky Air Base","Dnepr","2014-033AM",40045,-57.65625,-14.60485
"17",17,"Aerocube 6B","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Sun-Synchronous",0,614,700,0.00612,97.98,"97.88","5","","",2014-06-19,"3","Aerospace Corporation","USA","Dombarovsky Air Base","Dnepr","2014-033AN",40046,-57.65625,-14.60485
"18",18,"Aerocube 7A","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,500,802,0.0215,64.6,"97.4","2","","",2015-10-08,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2015-058C",40966,-120.53757,34.75046
"19",19,"Aerocube 8A","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,356,700,0.0249,55,"95.19","5","","",2015-05-20,"","Aerospace Corporation","USA","Cape Canaveral","Atlas 5","2015-025J",40659,-80.53311,28.45861
"20",20,"Aerocube 8B","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,356,700,0.0249,55,"95.19","5","","",2015-05-20,"","Aerospace Corporation","USA","Cape Canaveral","Atlas 5","2015-025K",40660,-80.53311,28.45861
"21",21,"Afristar ","USA","1Worldspace","USA","Commercial","Communications","","GEO","",20.97,35770,35802,0.00038,0.03,"1436.09","2704","1530","5500",1998-10-28,"15","Matra Marconi Space-France","France","Guiana Space Center","Ariane 44L","1998-063A",25515,-52.76898,5.21603
"22",22,"AIM","USA","Center for Atmospheric Sciences, Hampton University/NASA","USA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,544,552,0.000578,97.9,"96.2","215","197","216",2007-04-25,"2","Orbital Sciences Corp.","USA","Vandenberg AFB","Pegasus XL","2007-015A",31304,-120.53757,34.75046
"23",23,"AISat-1","Germany","German Aerospace Center (DLR)","Germany","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,643,660,0.00121,98.25,"97.76","14","","",2014-06-30,"","German Aerospace Center (DLR)","Germany","Satish Dhawan Space Center","PSLV-CA","2014-034B",40054,10.5,51.5
"24",24,"AISSat-1","Norway","Norwegian Coastal Admnistration","Norway","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,615,632,0.00122,98,"97.2","6","","",2010-07-12,"3","Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies","Canada","Satish Dhawan Space Center","PSLV","2010-035C",36797,-113.64258,60.10867
"25",25,"AISSat-2","Norway","Norwegian Coastal Admnistration","Norway","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,625,631,0.000429,98.4,"97.27","6","","",2014-07-08,"3","Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies","Norway/Canada","Baikonur Cosmodrome","Soyuz-2.1b","2014-037G",40075,63.30091,46.00573
"26",26,"AIST-1","Russia","Samara State Aerospace University, SGAU","Russia","Civil","Technology Development","","LEO","Polar",0,599,626,0.00193,82.4,"96.9","","","",2013-12-28,"","TsSKB Progress","Russia","Plesetsk Cosmodrome","Soyuz 2,1v","2013-078C",39492,100,60
"27",27,"AIST-2","Russia","Samara State Aerospace University, SGAU","Russia","Civil","Technology Development","","LEO","Non-Polar Inclined",0,558,582,0.00173,64.88,"96.06","53","","",2013-04-19,"3","Samara State Aerospace University, SGAU","Russia","Baikonur Cosmodrome","Soyuz 2.1a","2013-015D",39133,63.30091,46.00573
"28",28,"AIST-2D","NR","Samara State Aerospace University","Russia","Civil","Technology Development","","LEO","Sun-Synchronous",0,471,486,0.0011,97.28,"94.18","531","","",2016-04-27,"","Samara State Aerospace University/TsSKB Progress","Russia","Vostochny Cosmodrome","Soyuz 2.1a","2016-026B",41465,100,60
"29",29,"ALiCE","NR","US Air Force Institute of Technology","USA","Military","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"","US Air Force Institute of Technology","USA","Vandenberg AFB","Atlas 5","2013-072F",39467,-120.53757,34.75046
"30",30,"Alphasat I-XL","United Kingdom","INMARSAT, Ltd./European Space Agency","United Kingdom/ESA","Commercial/Government","Communications/Technology Development","","GEO","",25,35786,35787,1.19e-05,0.02,"1436.09","6650","3370","12000",2013-07-25,"15","Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5 ECA","2013-038A",39215,-52.76898,5.21603
"31",31,"Alsat-2A","Algeria","Centre National des Techniques Spatiales (CNTS)","Algeria","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,672,674,0.000142,98.1,"98.2","130","","",2010-07-12,"5","EADS Astrium","France/UK/Germany/Spain","Satish Dhawan Space Center","PSLV","2010-035D",36798,NA,NA
"32",32,"Amazonas-1","Brazil","Hispamar (subsidiary of Hispasat - Spain)","Spain","Commercial","Communications","","GEO","",-61.02,35776,35797,0.000249,0.04,"1436.1","4545","2000","9,500 (EOL)",2004-08-04,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2004-031A",28393,63.30091,46.00573
"33",33,"Amazonas-2","Brazil","Hispamar (subsidiary of Hispasat - Spain)","Spain","Commercial","Communications","","GEO","",-61,35767,35805,0.000451,0.03,"1436.08","5465","","15300",2009-10-01,"15","EADS Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5","2009-054A",35942,-52.76898,5.21603
"34",34,"Amazonas-3","Brazil","Hispamar (subsidiary of Hispasat - Spain)","Spain","Commercial","Communications","","GEO","",-61,35781,35791,0.000119,0.03,"1436.05","6265","2778","14000",2013-02-07,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2013-006A",39078,-52.76898,5.21603
"35",35,"Amazonas-4A","NR","Hispamar (subsidiary of Hispasat - Spain)","Spain","Commercial","Communications","","GEO","",-61,35784,35795,0.00013,0.08,"1436.24","2938","","",2014-03-22,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2014-011A",39616,-52.76898,5.21603
"36",36,"AMC-1","USA","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","USA","Commercial","Communications","","GEO","",-103.02,35772,35800,0.000332,0.03,"1436.1","2783","1600","6,500 (EOL)",1996-09-08,"15","Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 2A","1996-054A",24315,-80.53311,28.45861
"37",37,"AMC-10","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-134.97,35775,35797,0.000261,0.01,"1436.09","2315","907","6,500 (EOL)",2004-02-05,"15","Lockheed Martin","USA","Cape Canaveral","Atlas 2AS","2004-003A",28154,-80.53311,28.45861
"38",38,"AMC-11","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-130.93,35774,35797,0.000273,0.04,"1436.07","2340","2,316 (BOL)","6,500 (EOL)",2004-05-19,"15","Lockheed Martin","USA","Cape Canaveral","Atlas 2AS","2004-017A",28252,-80.53311,28.45861
"39",39,"AMC-15","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-105.04,35777,35795,0.000213,0.04,"1436.08","4200","","",2004-10-14,"15","Lockheed Martin","USA","Baikonur Cosmodrome","Proton M","2004-041A",28446,63.30091,46.00573
"40",40,"AMC-16","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-84.98,35780,35793,0.000154,0.02,"1436.1","4312","","",2004-12-17,"15","Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 5","2004-048A",28472,-80.53311,28.45861
"41",41,"AMC-18","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-104.97,35773,35800,0.00032,0.06,"1436.1","2081","918","",2006-12-08,"15","Lockheed Martin Missiles and Space","USA","Guiana Space Center","Ariane 5","2006-054B",29644,-52.76898,5.21603
"42",42,"AMC-2","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-100.98,35774,35798,0.000285,0.05,"1436.1","2648","1600","6,500 (EOL)",1997-01-30,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 44L","1997-002A",24713,-52.76898,5.21603
"43",43,"AMC-21","United Kingdom","SES World Skies","USA","Commercial","Communications","","GEO","",-124.86,35778,35793,0.000178,3,"1436.1","2500","","5000",2008-08-14,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2008-038B",33275,-52.76898,5.21603
"44",44,"AMC-3","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-86.96,35777,35795,0.000213,0.02,"1436.08","2845","1600","6,500 (EOL)",1997-09-04,"15","Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 2AS","1997-050A",24936,-80.53311,28.45861
"45",45,"AMC-4","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-100.99,35781,35791,0.000119,0.01,"1436.1","3909","2500","",1999-11-13,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 44LP","1999-060A",25954,-52.76898,5.21603
"46",46,"AMC-6","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-71.98,35778,35795,0.000202,0.05,"1436.12","3901","2500","",2000-10-22,"15","Lockheed Martin Commercial Space Systems","USA","Baikonur Cosmodrome","Proton K","2000-067A",26580,63.30091,46.00573
"47",47,"AMC-7","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-136.94,35773,35798,0.000297,0.01,"1436.08","1935","912","6,500 (EOL)",2000-09-14,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5G","2000-054B",26495,-52.76898,5.21603
"48",48,"AMC-8","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-139,35773,35798,0.000297,0.03,"1436.07","2015","919","3300",2000-12-19,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5G","2000-081B",26639,-52.76898,5.21603
"49",49,"AMC-9","USA","SES World Skies","USA","Commercial","Communications","","GEO","",-82.95,35773,35798,0.000297,0.05,"1436.08","4100","2000","10000",2003-06-07,"15","Alcatel Space Industries","France","Baikonur Cosmodrome","Proton K","2003-024A",27820,63.30091,46.00573
"50",50,"Amos 2","NR","Israel Aircraft Industries","Israel","Military/Commercial","Communications","","GEO","",-3.98,35778,35794,0.00019,0.05,"1436.08","1400","646","1,900 (EOL)",2003-12-27,"12","Israel Aircraft Industries (IAI)","Israel","Baikonur Cosmodrome","Soyuz-Fregat ","2003-059A",28132,63.30091,46.00573
"51",51,"Amos 3","NR","Space-Communication Ltd","Israel","Military/Commercial","Communications","","GEO","",-3.99,35783,35789,7.12e-05,0.04,"1436.1","","","",2008-04-28,"12","Israel Aircraft Industries (IAI)","Israel","Baikonur Cosmodrome","Zenit 3SLB","2008-022A",32794,63.30091,46.00573
"52",52,"Amos 4","NR","Space-Communication Ltd","Israel","Military/Commercial","Communications","","GEO","",65,35633,35796,0.00194,0.01,"1432","","","",2013-08-31,"12","Israel Aircraft Industries (IAI)","Israel","Baikonur Cosmodrome","Zenit 2SB","2013-045A",39237,63.30091,46.00573
"53",53,"Amos 5","NR","Space-Communication Ltd","Israel","Military/Commercial","Communications","","GEO","",17,35595,36007,0.00488,0.09,"1436.08","1600","","",2011-12-11,"15","OAO ISS","Russia","Baikonur Cosmodrome","Proton M","2011-074A",37950,63.30091,46.00573
"54",54,"Amsat-Oscar 7","USA","Amsat-NA","USA","Civil","Communications","","LEO","Polar",0,1440,1459,0.00121,101.4,"114.9","29","","",1974-11-15,"","Amsat-NA","USA","Vandenberg AFB","Delta 2310","1974-089B",7530,-120.53757,34.75046
"55",55,"Anik F1","Canada","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-107.27,35778,35793,0.000178,0.02,"1436.08","4710","2950","15,500 (EOL)",2000-11-21,"15","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 44L","2000-076A",26624,-52.76898,5.21603
"56",56,"Anik F1R","Canada","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-107.3,35777,35795,0.000213,0.02,"1436.1","4500","","10000",2005-09-09,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2005-036A",28868,63.30091,46.00573
"57",57,"Anik F2","Canada","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-111.07,35781,35790,0.000107,0.01,"1436.08","5910","3805","16000",2004-07-18,"15","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 5","2004-027A",28378,-52.76898,5.21603
"58",58,"Anik F3","Canada","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-118.69,35778,35794,0.00019,0.01,"1436.1","4715","","17500",2007-04-09,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2007-009A",31102,63.30091,46.00573
"59",59,"Anik G1","NR","Telesat Canada Ltd. (BCE, Inc.)","Canada","Commercial","Communications","","GEO","",-107.3,35773,35799,0.000308,0.01,"1436.08","4905","","17500",2013-04-15,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton M","2013-014A",39127,63.30091,46.00573
"60",60,"AntelSat","NR","Facultad de Ingenier√å_a de la Universidad de la Rep√å¬ºblica (FING), ANTEL","Uruguay","Civil","Technology Development","","LEO","Sun-Synchronous",0,612,696,0.00598,97.96,"96.99","2","","",2014-06-19,"","Facultad de Ingenier√å_a de la Universidad de la Rep√å¬ºblica (FING), ANTEL","Uruguay","Dombarovsky Air Base","Dnepr","2014-033AA",40034,-56,-33
"61",61,"AprizeSat 1","USA","Aprize Satellites Argentina","Argentina","Commercial","Communications/Technology Development","","LEO","Sun-Synchronous",0,696,764,0.00479,98,"99.4","12","12","",2004-06-29,"","Aprize Satellite ","Argentina","Baikonur Cosmodrome","Dnepr 1","2004-025G",28372,63.30091,46.00573
"62",62,"AprizeSat 10","NR","Aprize Satellite","USA/Argentina","Commercial","Communications/Maritime Tracking","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,613,733,0.00852,97.9,"98","12","12","",2014-06-19,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr","2014-033K",40019,-57.65625,-14.60485
"63",63,"AprizeSat 2","USA","Aprize Satellites Argentina","Argentina","Commercial","Communications/Technology Development","","LEO","Sun-Synchronous",0,694,850,0.0109,98.2,"100.3","12","12","",2004-06-29,"","Aprize Satellite ","Argentina","Baikonur Cosmodrome","Dnepr 1","2004-025A",28366,63.30091,46.00573
"64",64,"AprizeSat 3","USA","Aprize Satellite","USA/Argentina","Commercial","Communications/Maritime Tracking","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,559,662,0.00738,98.18,"97","12","12","",2009-07-29,"","SpaceQuest","USA","Baikonur Cosmodrome","Dnepr","2009-041F",35686,63.30091,46.00573
"65",65,"AprizeSat 4","USA","Aprize Satellite","USA/Argentina","Commercial","Communications/Maritime Tracking","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,604,674,0.00499,98.1,"97.5","12","12","",2009-07-29,"","SpaceQuest","USA","Baikonur Cosmodrome","Dnepr","2009-041D",35684,63.30091,46.00573
"66",66,"AprizeSat 5","USA","AprizeSat","Canada","Commercial","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,610,694,0.00598,98.2,"97.8","12","12","",2011-08-17,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr 1","2011-044E",37792,-57.65625,-14.60485
"67",67,"AprizeSat 7","USA","AprizeSat","Canada","Commercial","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,594,653,0.00422,97.8,"97.17","12","12","",2013-11-21,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr","2013-066A",39416,-57.65625,-14.60485
"68",68,"AprizeSat 8","NR","Aprize Satellite","USA/Argentina","Commercial","Communications/Maritime Tracking","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,594,669,0.00536,97.8,"97.99","12","12","",2013-11-21,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr","2013-066K",39425,-57.65625,-14.60485
"69",69,"AprizeSat 9","NR","exactEarth","Canada","Commercial","Communications/Maritime Tracking","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,613,715,0.00725,97.9,"98","12","12","",2014-06-19,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr","2014-033J",40018,-57.65625,-14.60485
"70",70,"Apstar 1A","China","APT Satellite Holdings Ltd.","China","Commercial","Communications","","GEO","",51.47,35779,35790,0.00013,5.89,"1436.03","1383","726","",1996-07-03,"","Hughes","USA","Xichang Satellite Launch Center","Long March 3","1996-039A",23943,-57.65625,-14.60485
"71",71,"Apstar 6","China","APT Satellite Holdings Ltd.","China","Commercial","Communications","","GEO","",134.04,35778,35794,0.00019,0.01,"1436.08","4680","","",2005-04-12,"","Alcatel Space Industries","France","Xichang Satellite Launch Center","Long March 3B","2005-012A",28638,2,46
"72",72,"Apstar 7","China","APT Satellite Holdings Ltd.","China","Commercial","Communications","","GEO","",76.5,35864,35874,0.000118,0.03,"1440.31","5054","","",2012-03-31,"15","Thales Alenia Space","France/Italy","Xichang Satellite Launch Center","Long March 3B","2012-013A",38107,13.36676,45.77335
"73",73,"Apstar 9","China","APT Satellite Holdings Ltd.","China","Commercial","Communications","","GEO","",142,35782,35788,7.12e-05,0.12,"1436.01","5200","","10500",2015-10-16,"15","China Academy of Space Technology (CAST)","China","Xichang Satellite Launch Center","Long March 3B","2015-059A",40982,105,35
"74",74,"Apstar 9A","China","APT Satellite Holdings Ltd.","China","Commercial","Communications","","GEO","",87.68,35778,35795,0.000202,0.02,"1436.12","3000","1418","6,797 (EOL)",1998-05-30,"15","Lockheed Martin","USA","Xichang Satellite Launch Center","Long March 3B","1998-033A",25354,-57.65625,-14.60485
"75",75,"Aqua","USA","NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency","USA/Japan/Brazil","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,701,704,0.000212,98.2,"98.8","2934","2832","4,860 (EOL)",2002-05-04,"6","NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil)","USA/Japan/Brazil","Vandenberg AFB","Delta","2002-022A",27424,-120.53757,34.75046
"76",76,"Arabsat 5C","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",19.99,35766,35805,0.000463,0.06,"1436.06","4630","","",2011-09-21,"15","Astrium/Thales Alenia Space","France","Guiana Space Center","Arinae 5 ECA","2011-049B",37810,-52.76898,5.21603
"77",77,"Arabsat 7F","Canada","Arab Satellite Communications Org. (ASCO)","Multinational","Commercial","Communications","","GEO","",44.5,35778,35794,0.00019,0.01,"1436.09","3600","1700","8600",1999-05-20,"12","Lockheed Martin/Spar Aerospace","USA/Canada","Baikonur Cosmodrome","Proton D","1999-027A",25740,63.30091,46.00573
"78",78,"ARC-1","NR","University of Alaska-Fairbanks","USA","Civil","Technology Development","","LEO","Non-Polar Inclined",0,497,801,0.0217,64.78,"97.71","1","","",2015-10-08,"","University of Alaska-Fairbanks","USA","Cape Canaveral","Atlas 5","2015-058F",40969,-80.53311,28.45861
"79",79,"ArSat 1","Argentina","ArSat","Argentina","Commercial","Communications","","GEO","",-71.8,35778,35795,0.000202,0.01,"1436.07","3000","","",2014-10-16,"15","INVAP S.E.","Argentina","Guiana Space Center","Ariane 5 ECA","2014-062B",40272,-52.76898,5.21603
"80",80,"ArSat 2","Argentina","ArSat","Argentina","Commercial","Communications","","GEO","",-81,35786,35801,0.000178,0.01,"1436.06","2977","","4600",2015-09-30,"15","INVAP S.E.","Argentina","Guiana Space Center","Ariane 5 ECA","2015-054B",40941,-52.76898,5.21603
"81",81,"AsiaSat-3S","China","Asia Satellite Telecommunications Co. Ltd. ","China","Commercial","Communications","","GEO","",105.55,35780,35792,0.000142,0.02,"1436.07","3480","2500","10000",1999-03-21,"15","Boeing Satellite Systems","USA","Baikonur Cosmodrome","Proton K","1999-013A",25657,63.30091,46.00573
"82",82,"AsiaSat-4","China","Asia Satellite Telecommunications Co. Ltd.","China","Commercial","Communications","","GEO","",122.24,35784,35789,5.93e-05,0,"1436.1","4137","2275","9500",2003-04-12,"15","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 3B","2003-014A",27718,-80.53311,28.45861
"83",83,"AsiaSat-5","China","Asia Satellite Telecommunications Co. Ltd.","China","Commercial","Communications","","GEO","",100.5,35778,35795,0.000202,0,"1436.11","3760","","",2009-08-11,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Breeze M","2009-042A",35696,63.30091,46.00573
"84",84,"AsiaSat-6","China","Asia Satellite Telecommunications Co. Ltd.","China","Commercial","Communications","","GEO","",120,35783,35793,0.000119,0.07,"1436.17","3700","","",2014-09-07,"15","Space Systems/Loral","USA","Cape Canaveral","Falcon 9","2014-052A",40141,-80.53311,28.45861
"85",85,"AsiaSat-7","China","Asia Satellite Telecommunications Co. Ltd. ","China","Commercial","Communications","","GEO","",105.5,35782,35793,0.00013,0.02,"1436.17","3813","","",2011-11-25,"15","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton M","2011-069A",37933,63.30091,46.00573
"86",86,"AsiaSat-8","China","Asia Satellite Telecommunications Co. Ltd. ","China","Commercial","Communications","","GEO","",105.5,35781,35793,0.000142,0.07,"1436.1","4500","","8500",2014-08-05,"15","Space Systems/Loral","USA","Cape Canaveral","Falcon 9","2014-046A",40107,-80.53311,28.45861
"87",87,"AsiaStar","USA","1Worldspace","USA","Commercial","Communications","","GEO","",104.97,35773,35801,0.000332,0.02,"1436.15","2775","1530","5600",2000-03-21,"15","Alcatel Space Industries","France","Guiana Space Center","Ariane 5G","2000-016A",26107,-52.76898,5.21603
"88",88,"ASNARO-1","Japan","Ministry of Economy, Trade and Industry","Japan","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,506,507,7.27e-05,97.48,"94.75","500","","",2014-11-06,"3","NEC","Japan","Dombarovsky Air Base","Dnepr","2014-070A",40298,139.75309,35.68536
"89",89,"Astra 1D","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",-67.6,35776,35795,0.000225,1.15,"1436.08","2924","1700","3300",1994-11-01,"15","Hughes","USA","Guiana Space Center","Ariane 42P","1994-070A",23331,-52.76898,5.21603
"90",90,"Astra 1F","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",19.22,35778,35797,0.000225,0.03,"1436.15","3010","1800","4400",1996-04-18,"15","Hughes","USA","Baikonur Cosmodrome","Proton K","1996-021A",23842,63.30091,46.00573
