"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"723",723,"Iridium 80","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",1998-09-08,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-051C",25469,-120.53757,34.75046
"724",724,"Iridium 81","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",1998-09-08,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-051B",25468,-120.53757,34.75046
"725",725,"Iridium 82","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",1998-09-08,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-051A",25467,-120.53757,34.75046
"726",726,"Iridium 83","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",1998-11-06,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-066E",25531,-120.53757,34.75046
"727",727,"Iridium 84","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",1998-11-06,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-066D",25530,-120.53757,34.75046
"728",728,"Iridium 86","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,780,0.00028,86.4,"100.4","689","556","1,400 (EOL)",1998-11-06,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2 7920","1998-066B",25528,-120.53757,34.75046
"729",729,"Iridium 90","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,777,778,7e-05,86.4,"100.4","689","556","1,400 (EOL)",2002-02-11,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2","2002-005B",27373,-120.53757,34.75046
"730",730,"Iridium 91","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,744,753,0.000632,86.4,"99.8","689","556","1,400 (EOL)",2002-02-11,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2","2002-005A",27372,-120.53757,34.75046
"731",731,"Iridium 94","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,773,782,0.00063,86.4,"100.4","689","556","1,400 (EOL)",2002-02-11,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2","2002-005C",27374,-120.53757,34.75046
"732",732,"Iridium 95","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,776,779,0.00021,86.4,"100.4","689","556","1,400 (EOL)",2002-02-11,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2","2002-005D",27375,-120.53757,34.75046
